island_id,fcode,island_name,island_name_dhivehi,atoll_id,atoll_name,is_atoll_capital,latitude,longitude,area_hectares,area_sqkm
1,LD0474,Bodufolhudhoo,ބޮޑުފޮޅުދޫ,1,Alifu Alifu,False,4.185741,72.773469,12.492676,0.1249
2,LD0287,Feridhoo,ފެރިދޫ,1,Alifu Alifu,False,4.051066,72.725569,45.079816,0.4508
3,LD0874,Himendhoo,ހިމެންދޫ,1,Alifu Alifu,False,3.921069,72.744234,20.958977,0.2096
4,LD0004,Maalhos,މާޅޮސް,1,Alifu Alifu,False,3.986405,72.719227,32.453251,0.3245
5,LD0132,Mathiveri,މަތިވެރި,1,Alifu Alifu,False,4.19196,72.746108,23.064295,0.2306
6,LD0257,Rasdhoo,ރަސްދޫ,1,Alifu Alifu,True,4.263125,72.991681,21.825808,0.2183
7,LD0501,Thoddoo,ތޮއްޑޫ,1,Alifu Alifu,False,4.437064,72.95936,162.847076,1.6285
8,LD0916,Ukulhas,އުކުޅަސް,1,Alifu Alifu,False,4.214916,72.864141,23.749664,0.2375
9,LD0273,Dhan'Gethi,ދަނގެތި,2,Alifu Dhaalu,False,3.607647,72.956038,30.166662,0.3017
10,LD1047,Dhigurah,ދިގުރަށް,2,Alifu Dhaalu,False,3.527893,72.92386,55.048316,0.5505
11,LD0459,Dhihdhoo,ދިއްދޫ,2,Alifu Dhaalu,False,3.484571,72.87861,20.305146,0.2031
12,LD0513,Fenfushi,ފެންފުށި,2,Alifu Dhaalu,False,3.489172,72.782986,25.640855,0.2564
13,LD1023,Hangnaameedhoo,ހަންޏާމީދޫ,2,Alifu Dhaalu,False,3.849286,72.955337,20.310461,0.2031
14,LD0771,Kun'Burudhoo,ކުނބުރުދޫ,2,Alifu Dhaalu,False,3.775472,72.924721,6.507178,0.0651
15,LD0158,Maamin'Gili,މާމިނގިލި,2,Alifu Dhaalu,False,3.474846,72.833061,220.80777,2.2081
16,LD0545,Mahibadhoo,މަހިބަދޫ,2,Alifu Dhaalu,True,3.757158,72.968918,23.598404,0.236
17,LD0168,Mandhoo,މަންދޫ,2,Alifu Dhaalu,False,3.69786,72.709786,38.501574,0.385
18,LD0009,Omadhoo,އޮމަދޫ,2,Alifu Dhaalu,False,3.791618,72.962065,22.822959,0.2282
19,LD0844,Dharavandhoo,ދަރަވަންދޫ,3,Baa,False,5.157033,73.130709,67.384564,0.6738
20,LD0348,Dhonfanu,ދޮންފަނު,3,Baa,False,5.187979,73.122931,17.30447,0.173
21,LD0204,Eydhafushi,އޭދަފުށި,3,Baa,True,5.102656,73.070774,56.347201,0.5635
22,LD0520,Fehendhoo,ފެހެންދޫ,3,Baa,False,4.881774,72.968754,25.167163,0.2517
23,LD0044,Fulhadhoo,ފުޅަދޫ,3,Baa,False,4.884713,72.932465,29.271955,0.2927
24,LD0931,Goidhoo,ގޮއިދޫ,3,Baa,False,4.872079,72.999556,162.944662,1.6294
25,LD1000,Hithaadhoo,ހިތާދޫ,3,Baa,False,5.007406,72.922859,31.740218,0.3174
