island_id,census_year,total_resident_pop,male_resident_pop,female_resident_pop,total_maldivian_pop,male_maldivian_pop,female_maldivian_pop,total_foreign_pop,male_foreign_pop,female_foreign_pop,child_0_17,child_0_14,adolescent_10_19,working_age_15_64,youth_15_24,youth_18_35,elderly_65_plus,sex_ratio,dependency_ratio,child_dependency_ratio,aged_dependency_ratio,pop_density_per_sqkm,median_age_total,median_age_maldivian,median_age_foreign,foreign_pop_percent,growth_rate_from_2014
1,2022,704,361,343,653,322,331,51,39,12,254,217,129,406,78,151,30,97.28,60.84,53.45,7.39,1206.75,31.0,31.0,31.5,7.24,1.4
2,2022,544,297,247,492,254,238,52,43,9,167,156,70,299,30,126,37,106.72,64.55,52.17,12.37,4222.53,26.0,23.0,32.0,9.56,2.19
3,2022,885,501,384,754,391,363,131,110,21,321,277,168,452,113,199,25,107.71,66.81,61.28,5.53,1589.98,29.0,28.0,32.0,14.8,1.55
4,2022,516,273,243,429,196,233,87,77,10,166,160,69,236,25,104,33,84.12,81.78,67.8,13.98,3806.75,28.0,27.0,31.5,16.86,0.63
5,2022,878,466,412,788,385,403,90,81,9,317,282,149,466,88,218,40,95.53,69.1,60.52,8.58,5873.78,32.0,32.0,33.0,10.25,2.94
6,2022,1282,755,527,1078,583,495,204,172,32,352,307,178,711,107,267,60,117.78,51.62,43.18,8.44,1181.48,30.0,29.0,33.0,15.91,1.67
7,2022,1924,1133,791,1529,782,747,395,351,44,552,472,278,979,211,411,78,104.69,56.18,48.21,7.97,5406.39,27.0,24.0,30.0,20.53,1.59
8,2022,1284,740,544,1053,545,508,231,195,36,462,388,265,632,146,259,33,107.28,66.61,61.39,5.22,3102.76,31.0,31.0,30.0,17.99,1.68
9,2022,936,575,361,718,371,347,218,204,14,256,230,121,450,65,190,38,106.92,59.56,51.11,8.44,694.41,34.0,37.0,31.0,23.29,0.19
10,2022,141,75,66,110,54,56,31,21,10,26,25,10,77,8,27,8,96.43,42.86,32.47,10.39,1382.42,32.0,33.0,31.0,21.99,-2.75
11,2022,761,495,266,538,285,253,223,210,13,153,132,74,371,65,142,35,112.65,45.01,35.58,9.43,3900.03,31.0,28.0,35.0,29.3,0.38
12,2022,1000,584,416,811,400,411,189,184,5,333,309,142,451,63,194,51,97.32,79.82,68.51,11.31,2383.01,32.5,32.0,33.0,18.9,1.39
13,2022,484,269,215,413,206,207,71,63,8,148,130,77,248,38,85,35,99.52,66.53,52.42,14.11,7822.13,30.0,30.0,32.5,14.67,-1.88
14,2022,509,259,250,481,236,245,28,23,5,173,149,98,297,62,119,35,96.33,61.95,50.17,11.78,1462.61,30.0,29.0,34.0,5.5,1.2
15,2022,2798,1636,1162,2303,1167,1136,495,469,26,833,721,400,1446,265,652,136,102.73,59.27,49.86,9.41,10932.94,31.0,29.0,35.0,17.69,1.29
16,2022,2580,1458,1122,2022,970,1052,558,488,70,796,686,374,1231,204,491,105,92.21,64.26,55.73,8.53,1085.67,31.0,29.5,31.0,21.63,0.62
17,2022,418,264,154,286,145,141,132,119,13,85,71,41,194,53,91,21,102.84,47.42,36.6,10.82,4000.36,27.0,27.0,31.0,31.58,-0.35
18,2022,913,427,486,858,378,480,55,49,6,344,314,146,500,86,233,44,78.75,71.6,62.8,8.8,1479.57,30.0,30.0,31.0,6.02,0.27
19,2022,997,559,438,822,415,407,175,144,31,286,256,134,515,85,218,51,101.97,59.61,49.71,9.9,2299.98,31.0,30.0,34.0,17.55,1.33
20,2022,398,187,211,364,161,203,34,26,8,128,103,65,237,48,90,24,79.31,53.59,43.46,10.13,4580.53,31.0,30.0,32.0,8.54,0.17
21,2022,2581,1294,1287,2317,1077,1240,264,217,47,844,709,501,1429,305,506,179,86.85,62.14,49.62,12.53,786.74,31.5,30.0,34.0,10.23,-1.1
22,2022,198,115,83,172,91,81,26,24,2,51,45,25,115,26,51,12,112.35,49.57,39.13,10.43,1164.94,32.0,33.0,31.0,13.13,6.91
23,2022,341,213,128,240,135,105,101,78,23,66,61,34,173,27,78,6,128.57,38.73,35.26,3.47,357.79,31.0,29.0,34.0,29.62,4.02
24,2022,583,300,283,508,234,274,75,66,9,171,151,76,317,57,149,40,85.4,60.25,47.63,12.62,2344.03,29.0,28.5,31.0,12.86,0.17
25,2022,744,380,364,674,313,361,70,67,3,282,244,144,396,67,121,34,86.7,70.2,61.62,8.59,2585.65,30.0,30.0,29.0,9.41,0.09
26,2022,552,338,214,343,174,169,209,164,45,113,93,64,234,52,95,16,102.96,46.58,39.74,6.84,5269.43,29.0,27.0,35.0,37.86,-0.36
27,2022,1002,533,469,861,407,454,141,126,15,346,309,156,501,94,196,51,89.65,71.86,61.68,10.18,1563.09,25.0,23.0,32.0,14.07,0.47
28,2022,481,260,221,445,227,218,36,33,3,196,147,114,279,82,117,19,104.13,59.5,52.69,6.81,2943.09,31.0,31.0,32.0,7.48,3.19
29,2022,557,340,217,451,238,213,106,102,4,162,144,63,273,46,113,34,111.74,65.2,52.75,12.45,2222.43,29.0,28.0,31.0,19.03,1.19
30,2022,572,283,289,494,213,281,78,70,8,201,177,95,291,50,108,26,75.8,69.76,60.82,8.93,3547.93,34.0,34.0,33.5,13.64,0.95
31,2022,1625,816,809,1471,684,787,154,132,22,502,430,247,924,141,278,117,86.91,59.2,46.54,12.66,2516.09,30.0,28.0,34.0,9.48,0.51
32,2022,629,354,275,536,269,267,93,85,8,216,190,106,319,60,135,27,100.75,68.03,59.56,8.46,3547.84,31.0,30.0,31.0,14.79,-3.59
33,2022,764,389,375,685,318,367,79,71,8,250,218,122,430,80,156,37,86.65,59.3,50.7,8.6,1890.93,30.0,29.0,31.0,10.34,0.07
34,2022,3131,1647,1484,2667,1242,1425,464,405,59,1002,851,540,1677,334,673,139,87.16,59.03,50.75,8.29,2825.19,32.0,32.0,35.0,14.82,2.34
35,2022,679,342,337,650,318,332,29,24,5,208,182,105,418,63,161,50,95.78,55.5,43.54,11.96,3434.35,29.0,28.0,30.0,4.27,1.19
36,2022,1118,660,458,857,451,406,261,209,52,306,255,156,570,104,229,32,111.08,50.35,44.74,5.61,1827.62,33.0,33.0,33.5,23.35,0.01
37,2022,316,163,153,278,131,147,38,32,6,98,87,48,174,24,56,17,89.12,59.77,50.0,9.77,3061.11,28.0,28.0,30.0,12.03,1.33
38,2022,967,489,478,886,415,471,81,74,7,372,332,158,511,79,200,43,88.11,73.39,64.97,8.41,1135.24,29.0,28.0,31.5,8.38,0.26
39,2022,455,259,196,393,201,192,62,58,4,170,143,84,234,44,87,16,104.69,67.95,61.11,6.84,5215.29,26.0,26.0,33.0,13.63,0.32
40,2022,922,430,492,882,400,482,40,30,10,370,318,186,517,111,228,47,82.99,70.6,61.51,9.09,2854.25,29.0,27.0,36.0,4.34,1.1
