island_id,census_year,population_type,gender,labor_force_part_rate,employment_to_pop_ratio,unemployment_rate,inactivity_rate,youth_unemp_15_24,youth_unemp_18_35,neet_rate_15_24,neet_rate_18_35,combined_unemp_pot_lf
1,2022,all_residents,total,73.58,69.95,4.93,26.42,20.0,3.94,26.47,3.75,14.56
1,2022,all_residents,female,69.1,64.61,6.5,30.9,27.27,5.45,23.08,2.56,19.01
1,2022,all_residents,male,77.4,74.52,3.73,22.6,11.11,2.78,28.57,4.88,10.92
1,2022,maldivians_only,total,69.64,65.48,5.98,30.36,25.0,5.38,30.0,25.4,17.29
1,2022,maldivians_only,female,67.46,62.72,7.02,32.54,30.0,6.25,25.0,31.0,21.6
1,2022,maldivians_only,male,71.86,68.26,5.0,28.14,16.67,4.44,33.33,18.2,14.29
2,2022,all_residents,total,77.23,73.6,4.7,22.77,13.33,6.56,21.26,7.12,10.98
2,2022,all_residents,female,63.75,61.35,3.75,36.25,10.71,5.13,14.81,7.77,13.48
2,2022,all_residents,male,86.76,82.25,5.19,13.24,14.89,7.23,26.03,6.74,9.6
2,2022,maldivians_only,total,71.28,66.67,6.47,28.72,16.39,9.88,23.89,23.1,14.75
2,2022,maldivians_only,female,60.87,58.26,4.29,39.13,13.64,5.8,16.67,25.5,15.79
2,2022,maldivians_only,male,80.97,74.49,8.0,19.03,17.95,12.9,29.23,21.0,14.42
3,2022,all_residents,total,79.26,76.14,3.94,20.74,7.14,4.65,13.51,3.09,12.13
3,2022,all_residents,female,67.92,63.52,6.48,32.08,11.11,9.52,18.75,4.29,21.09
3,2022,all_residents,male,88.6,86.53,2.34,11.4,5.26,2.3,9.52,2.17,5.65
3,2022,maldivians_only,total,72.86,68.77,5.61,27.14,12.5,8.45,20.0,33.7,16.67
3,2022,maldivians_only,female,66.23,61.59,7.0,33.77,12.5,10.81,20.0,43.1,23.89
3,2022,maldivians_only,male,81.36,77.97,4.17,18.64,12.5,5.88,20.0,17.9,9.8
4,2022,all_residents,total,74.7,73.02,2.26,25.3,8.47,3.12,21.78,5.45,6.48
4,2022,all_residents,female,60.29,58.46,3.05,39.71,8.7,4.94,25.49,8.53,11.67
4,2022,all_residents,male,86.92,85.36,1.79,13.08,8.33,2.1,18.0,2.74,3.18
4,2022,maldivians_only,total,70.36,68.38,2.81,29.64,10.87,4.19,25.0,22.9,7.98
4,2022,maldivians_only,female,58.94,57.03,3.23,41.06,8.7,5.19,25.49,35.2,12.65
4,2022,maldivians_only,male,82.72,80.66,2.49,17.28,13.04,3.33,24.32,6.5,4.39
5,2022,all_residents,total,69.59,67.84,2.52,30.41,8.7,2.33,23.44,5.45,9.86
5,2022,all_residents,female,52.85,51.04,3.43,47.15,9.09,3.49,35.85,8.97,18.26
5,2022,all_residents,male,80.65,78.94,2.12,19.35,8.51,1.86,14.67,3.33,5.73
5,2022,maldivians_only,total,62.13,59.92,3.55,37.87,12.5,3.78,28.04,32.6,13.48
5,2022,maldivians_only,female,49.58,47.62,3.95,50.42,10.53,4.05,38.0,45.0,21.26
5,2022,maldivians_only,male,72.95,70.53,3.31,27.05,13.79,3.6,19.3,20.6,8.75
6,2022,all_residents,total,67.61,66.85,1.12,32.39,5.8,1.28,25.94,8.36,8.51
6,2022,all_residents,female,41.06,40.18,2.16,58.94,8.0,2.75,34.96,15.45,20.63
6,2022,all_residents,male,84.6,83.92,0.8,15.4,4.55,0.83,18.18,4.0,4.02
6,2022,maldivians_only,total,56.01,54.97,1.86,43.99,9.52,2.54,32.7,39.9,13.28
6,2022,maldivians_only,female,36.9,35.95,2.59,63.1,11.11,3.66,39.45,59.2,24.07
6,2022,maldivians_only,male,74.72,73.6,1.5,25.28,8.33,1.95,25.49,18.1,7.31
7,2022,all_residents,total,75.03,73.9,1.5,24.97,4.21,1.4,15.43,3.99,4.64
7,2022,all_residents,female,60.29,58.86,2.37,39.71,8.0,3.0,21.13,8.0,9.25
7,2022,all_residents,male,84.6,83.67,1.1,15.4,2.86,0.78,11.97,1.81,2.38
7,2022,maldivians_only,total,67.07,65.56,2.24,32.93,7.55,2.59,19.86,18.9,6.84
7,2022,maldivians_only,female,56.96,55.38,2.78,43.04,11.76,3.85,23.81,28.6,10.99
7,2022,maldivians_only,male,76.22,74.79,1.88,23.78,5.56,1.74,16.87,9.8,4.04
8,2022,all_residents,total,80.4,77.56,3.53,19.6,6.67,3.58,13.48,2.9,8.39
8,2022,all_residents,female,61.35,57.37,6.49,38.65,5.56,8.0,18.75,5.5,19.55
8,2022,all_residents,male,90.95,88.74,2.43,9.05,7.14,2.16,10.53,1.69,3.6
8,2022,maldivians_only,total,71.72,67.62,5.71,28.28,11.11,7.24,18.46,23.2,13.16
8,2022,maldivians_only,female,59.41,55.23,7.04,40.59,5.88,8.82,19.35,35.3,22.29
8,2022,maldivians_only,male,83.53,79.52,4.81,16.47,15.79,5.95,17.65,9.1,7.04
9,2022,all_residents,total,83.41,80.54,3.44,16.59,12.5,3.6,22.5,4.65,7.34
9,2022,all_residents,female,62.87,59.9,4.72,37.13,0.0,3.33,24.14,7.5,15.97
9,2022,all_residents,male,93.18,90.35,3.03,6.82,17.95,3.67,21.57,3.62,4.24
9,2022,maldivians_only,total,74.38,70.2,5.63,25.62,17.07,7.56,27.69,19.7,12.04
9,2022,maldivians_only,female,60.53,57.89,4.35,39.47,0.0,1.89,24.14,24.7,17.32
9,2022,maldivians_only,male,86.57,81.02,6.42,13.43,29.17,12.12,30.56,14.5,8.85
10,2022,all_residents,total,85.09,81.58,4.12,14.91,28.57,6.82,37.5,4.17,5.1
10,2022,all_residents,female,80.36,76.79,4.44,19.64,25.0,11.76,25.0,5.0,4.44
10,2022,all_residents,male,89.66,86.21,3.85,10.34,33.33,3.7,50.0,3.57,5.66
10,2022,maldivians_only,total,80.0,75.29,5.88,20.0,28.57,13.04,37.5,22.2,7.25
10,2022,maldivians_only,female,76.6,72.34,5.56,23.4,25.0,16.67,25.0,26.7,5.88
10,2022,maldivians_only,male,84.21,78.95,6.25,15.79,33.33,9.09,50.0,16.7,9.09
11,2022,all_residents,total,66.71,64.4,3.47,33.29,8.57,2.22,28.57,5.28,21.52
11,2022,all_residents,female,41.35,39.1,5.45,58.65,7.14,5.26,33.33,10.17,43.17
11,2022,all_residents,male,82.59,80.24,2.85,17.41,9.52,1.19,23.53,2.16,11.2
11,2022,maldivians_only,total,54.38,51.2,5.86,45.62,10.71,4.27,31.75,38.1,32.19
11,2022,maldivians_only,female,40.61,38.31,5.66,59.39,7.14,5.66,33.33,48.7,45.66
11,2022,maldivians_only,male,69.29,65.15,5.99,30.71,14.29,3.12,29.63,23.5,21.5
12,2022,all_residents,total,79.04,77.34,2.15,20.96,4.55,4.46,17.07,3.88,8.7
12,2022,all_residents,female,70.97,67.74,4.55,29.03,16.67,13.51,22.22,6.0,13.22
12,2022,all_residents,male,85.35,84.85,0.59,14.65,0.0,0.0,13.04,2.53,5.62
12,2022,maldivians_only,total,73.85,71.73,2.87,26.15,5.26,7.35,18.42,23.5,11.35
12,2022,maldivians_only,female,69.39,65.99,4.9,30.61,16.67,14.71,22.22,34.0,14.81
12,2022,maldivians_only,male,78.68,77.94,0.93,21.32,0.0,0.0,15.0,10.5,8.62
13,2022,all_residents,total,60.72,59.05,2.75,39.28,9.68,4.95,30.16,10.87,26.13
13,2022,all_residents,female,49.17,48.07,2.25,50.83,5.88,4.26,29.41,11.84,35.56
13,2022,all_residents,male,72.47,70.22,3.1,27.53,14.29,5.56,31.03,9.68,17.76
13,2022,maldivians_only,total,57.83,56.02,3.12,42.17,10.0,6.02,30.65,31.9,28.74
13,2022,maldivians_only,female,48.3,47.16,2.35,51.7,5.88,4.44,29.41,37.0,37.21
13,2022,maldivians_only,male,68.59,66.03,3.74,31.41,15.38,7.89,32.14,23.9,20.77
14,2022,all_residents,total,75.82,73.99,2.42,24.18,7.31,2.81,20.3,4.14,6.58
14,2022,all_residents,female,55.44,53.64,3.23,44.56,6.67,4.72,25.64,7.08,12.48
14,2022,all_residents,male,89.64,87.77,2.08,10.36,7.75,2.06,15.52,2.18,3.9
14,2022,maldivians_only,total,68.46,66.06,3.51,31.54,10.39,4.35,25.28,27.5,9.37
14,2022,maldivians_only,female,54.25,52.4,3.41,45.75,7.5,5.13,27.4,44.3,13.5
14,2022,maldivians_only,male,83.4,80.42,3.58,16.6,13.51,3.82,22.69,8.2,6.63
15,2022,all_residents,total,73.65,72.42,1.66,26.35,6.11,2.47,15.6,2.22,7.78
15,2022,all_residents,female,56.26,55.1,2.06,43.74,8.51,3.41,21.24,3.64,15.45
15,2022,all_residents,male,85.82,84.55,1.47,14.18,4.76,2.12,10.95,1.43,3.8
15,2022,maldivians_only,total,63.02,61.3,2.73,36.98,9.41,4.28,19.12,22.0,12.31
15,2022,maldivians_only,female,52.4,51.13,2.43,47.6,10.26,3.57,22.86,31.7,18.1
15,2022,maldivians_only,male,75.0,72.77,2.97,25.0,8.7,4.85,15.15,10.6,7.49
16,2022,all_residents,total,84.93,83.77,1.37,15.07,6.25,2.58,13.85,2.98,6.47
16,2022,all_residents,female,72.41,69.83,3.57,27.59,9.52,8.11,18.18,6.12,14.74
16,2022,all_residents,male,91.27,90.83,0.48,8.73,3.7,0.85,9.38,1.68,2.8
16,2022,maldivians_only,total,76.28,74.42,2.44,23.72,8.11,5.06,16.98,15.4,11.11
16,2022,maldivians_only,female,70.19,67.31,4.11,29.81,11.76,9.09,21.43,27.3,17.28
16,2022,maldivians_only,male,81.98,81.08,1.1,18.02,5.0,2.17,12.0,4.3,6.25
