island_id,census_year,total_households,total_housing_units,house_flat_apartment,boats_mobile_units,buildings_not_habitable,other_household_units,collective_living_qtrs,labor_staff_quarters,other_clq,avg_household_size
1,2022,114,101,100,0,1,0,13,11,2,6.18
2,2022,160,145,142,1,1,1,15,15,0,3.4
3,2022,98,92,91,1,0,0,6,6,0,9.03
4,2022,138,125,123,0,2,0,13,12,1,3.74
5,2022,282,256,248,1,3,4,26,22,4,3.11
6,2022,364,330,317,3,9,1,34,29,5,3.52
7,2022,233,208,204,2,1,1,25,21,4,8.26
8,2022,179,153,146,4,2,1,26,26,0,7.17
9,2022,165,134,128,2,1,3,31,30,1,5.67
10,2022,44,37,37,0,0,0,7,7,0,3.2
11,2022,190,141,140,1,0,0,49,49,0,4.01
12,2022,110,106,105,0,0,1,4,2,2,9.09
13,2022,88,85,84,1,0,0,3,1,2,5.5
14,2022,426,395,381,7,7,0,31,27,4,1.19
15,2022,400,307,294,8,4,1,93,91,2,7.0
16,2022,78,74,73,1,0,0,4,4,0,33.08
17,2022,141,137,135,2,0,0,4,4,0,2.96
18,2022,234,211,207,1,0,3,23,22,1,3.9
19,2022,96,94,93,0,1,0,2,2,0,10.39
20,2022,578,570,568,1,0,1,8,7,1,0.69
21,2022,54,49,48,1,0,0,5,3,2,47.8
22,2022,76,62,59,1,0,2,14,14,0,2.61
23,2022,136,135,135,0,0,0,1,1,0,2.51
24,2022,166,164,164,0,0,0,2,2,0,3.51
25,2022,104,87,86,0,0,1,17,16,1,7.15
26,2022,211,188,184,3,1,0,23,23,0,2.62
27,2022,78,71,71,0,0,0,7,6,1,12.85
28,2022,100,85,84,1,0,0,15,15,0,4.81
29,2022,135,124,123,0,0,1,11,8,3,4.13
30,2022,356,344,341,3,0,0,12,11,1,1.61
31,2022,104,99,91,8,0,0,5,5,0,15.62
32,2022,143,138,134,3,1,0,5,5,0,4.4
33,2022,591,550,525,18,4,3,41,39,2,1.29
34,2022,142,138,136,1,0,1,4,4,0,22.05
35,2022,241,186,175,10,1,0,55,55,0,2.82
36,2022,73,70,68,0,2,0,3,3,0,15.32
37,2022,175,164,161,1,2,0,11,11,0,1.81
38,2022,85,83,80,3,0,0,2,2,0,11.38
39,2022,165,160,160,0,0,0,5,5,0,2.76
40,2022,111,106,105,0,0,1,5,5,0,8.31
41,2022,324,314,301,8,4,1,10,8,2,2.17
42,2022,218,210,205,4,1,0,8,8,0,8.36
43,2022,135,125,116,9,0,0,10,10,0,7.73
44,2022,282,278,265,10,1,2,4,4,0,2.12
45,2022,128,122,117,5,0,0,6,6,0,10.3
46,2022,192,182,181,0,0,1,10,10,0,3.22
47,2022,78,76,72,2,1,1,2,2,0,8.15
48,2022,273,263,262,0,1,0,10,10,0,1.2
49,2022,122,114,110,4,0,0,8,8,0,9.84
50,2022,574,528,517,5,6,0,46,45,1,0.95
51,2022,224,221,214,6,1,0,3,3,0,12.95
52,2022,179,172,169,1,2,0,7,7,0,4.79
53,2022,391,375,374,0,1,0,16,15,1,1.63
54,2022,217,200,197,1,0,2,17,16,1,6.52
55,2022,275,265,264,0,1,0,10,8,2,3.22
56,2022,161,155,154,0,1,0,6,6,0,7.57
57,2022,146,145,142,2,1,0,1,1,0,3.98
58,2022,1213,1088,1063,13,6,6,125,122,3,0.36
59,2022,165,158,156,0,2,0,7,6,1,37.68
60,2022,1999,1867,1848,8,8,3,132,129,3,0.26
61,2022,272,269,267,2,0,0,3,3,0,33.74
62,2022,779,745,738,5,2,0,34,31,3,1.46
63,2022,145,145,144,1,0,0,0,0,0,23.53
64,2022,425,398,389,3,5,1,27,26,1,1.32
65,2022,438,423,414,6,2,1,15,14,1,4.2
66,2022,273,258,257,0,1,0,15,15,0,10.52
67,2022,149,149,149,0,0,0,0,0,0,7.48
68,2022,75,74,74,0,0,0,1,1,0,8.91
69,2022,111,105,105,0,0,0,6,6,0,2.58
70,2022,88,88,88,0,0,0,0,0,0,6.07
71,2022,102,101,100,1,0,0,1,0,1,2.74
72,2022,82,81,81,0,0,0,1,1,0,5.21
