island_id,council_contact_name,council_contact_number,police_station_name,police_contact_number,medical_facilities_desc,medical_contact_numbers,nearest_airport,how_to_get_there,sea_travel_info,air_travel_info,speedboat_operators,speedboat_contact,flight_operators,flight_contact,info_link
1,Island Focal Point,9607656785,Police Station,9609800109,Health Center,9606660809,Velana International Airport,Origin: Male'; Speed Boat Charter 1 hour 40 minutes from Male' to Feridhoo,Speed Boat Charter 1 hour 40 minutes from Male' to Feridhoo,,Ahmed Siraj; Abdulla Nilam,+9607768135; +9609970590,,,https://islands.mv/islands/alifu-alifu-feridhoo
2,Island Focal Point,9606660061,Police Station,9609946441,Health Center,9606660857,Velana International Airport,Origin: Male'; Speed Boat Charter 1 hour 40 minutes from Male' to Himendhoo,Speed Boat Charter 1 hour 40 minutes from Male' to Himendhoo,,Zuhudha Ahmed,9609154532,,,https://islands.mv/islands/alifu-alifu-himendhoo
3,Island Focal Point,9606660059,Police Station,9609946441,Health Center,9606660809,Velana International Airport,Origin: Male'; Speed Boat Charter 5 hours 5 minutes from Male' to Maalhos,Speed Boat Charter 5 hours 5 minutes from Male' to Maalhos,,Agent; Halyard,+9607988823; +9609827238,,,https://islands.mv/islands/alifu-alifu-maalhos
4,Island Focal Point,9606660058,Police Station,9609994875,Health Center,9606660858,Velana International Airport,Origin: Male'; Speed Boat Charter 1 hour 35 minutes from Male' to Mathiveri,Speed Boat Charter 1 hour 35 minutes from Male' to Mathiveri,,Nevi,9607958272,,,https://islands.mv/islands/alifu-alifu-mathiveri
5,,,,,,,Velana International Airport,,,,,,,,
6,Island Focal Point,9606660537,Thoddoo Police Station,9609643434,Health center,9606660860,Velana International Airport,Origin: Male'; Speed Boat Ferry 2 hours 30 minutes from Male' to Thoddoo,Speed Boat Ferry 2 hours 30 minutes from Male' to Thoddoo,,,,,,https://islands.mv/islands/alifu-alifu-thodhoo
7,Island Focal Point,9606660536,Police Station,9609921268,Health Center,9606660859,Velana International Airport,Origin: Male'; Speed Boat Charter 1 hour 20 minutes from Male' to Ukulhas,Speed Boat Charter 1 hour 20 minutes from Male' to Ukulhas,,Nevi; Coral Speed,+9607958272; +9607783518,,,https://islands.mv/islands/alifu-alifu-ukulhas
8,Island Focal Point,+9606680888,Police Station,+9609996459,Health Center,+9606680875,Villa International Airport Maamigili,Origin: Male'; Speed Boat Charter 1 hour 30 minutes from Male' to Dhan'gethi,Speed Boat Charter 1 hour 30 minutes from Male' to Dhan'gethi,,Erwina Transfer; Faza's Speed; Endheri Express,+9607602050; +9607494444; +9607799222,,,https://islands.mv/islands/alifu-dhaalu-dhan-gethi
9,Island Focal Point,+9606680631,Police Station,9609790190,Health Center,+9606680876,Villa International Airport Maamigili,Origin: Male'; Speed Boat Charter 1 hour 30 minutes from Male' to Dhigurah,Speed Boat Charter 1 hour 30 minutes from Male' to Dhigurah,,,,,,https://islands.mv/islands/alifu-dhaalu-dhigurah
10,Island Focal Point,9606680057,Police Station,00,Health Center,9606680855,Villa International Airport Maamigili,Origin: Maamigili; Speed Boat Charter 5 minutes from Maamigili to Dhihdhoo,Speed Boat Charter 5 minutes from Maamigili to Dhihdhoo,,Heena Express,9607941577,,,https://islands.mv/islands/alifu-dhaalu-dhihdhoo
11,Island Focal Point,+9606680539,Police Station,+9609790193,Health Center,+9606680874,Villa International Airport Maamigili,Origin: Male'; Speed Boat Charter 2 hours from Male' to Fenfushi,Speed Boat Charter 2 hours from Male' to Fenfushi,,Neesha Express,9609691111,,,https://islands.mv/islands/alifu-dhaalu-fenfushi
12,Island Focal Point,+9606680056,Police Station,00,Health Center,+9606680870,Villa International Airport Maamigili,Origin: Male'; Speed Boat Ferry 1 hour from Male' to Hangnaameedhoo,Speed Boat Ferry 1 hour from Male' to Hangnaameedhoo,,Myna; HMHI Travels,+9607797904; +9609980462,,,https://islands.mv/islands/alifu-dhaalu-hangnaameedhoo
13,Island Focal Point,+9606680053,,,Health Center,00,Villa International Airport Maamigili,Origin: Male'; Speed Boat Charter 1 hour 25 minutes from Male' to Kun'burudhoo,Speed Boat Charter 1 hour 25 minutes from Male' to Kun'burudhoo,,Hussain Areef; Mohamed Shafeeq; Ahmed Shiyam,+9607912640; +9607944985; +9607770170,,,https://islands.mv/islands/alifu-dhaalu-kun-burudhoo
14,Island Focal Point,+9606680538,Police Station,+9609792499,Health Center,+9606680872,Villa International Airport Maamigili,Origin: Male'; Speed Boat Charter 1 hour 45 minutes from Male' to Maamigili,Speed Boat Charter 1 hour 45 minutes from Male' to Maamigili,,Naafitte Launch; Swift,+9607971709; +9607901149,,,https://islands.mv/islands/alifu-dhaalu-maamigili
15,Island Focal Point,+9606680773,Police Station,+9609791822,ADH.Hospital,+9606680529,Villa International Airport Maamigili,"Origin: Velana International Airport; Flight 20 minutes flight from Velana International Airport to Maamigili Airport, and 40 minutes transfer to Mahibadhoo by speedboat.",,"Flight 20 minutes flight from Velana International Airport to Maamigili Airport, and 40 minutes transfer to Mahibadhoo by speedboat.",,,Flyme,+960301 3000,
16,Island Focal Point,+9606680052,Police Station,00,Health Center,+9606680856,Villa International Airport Maamigili,"Origin: Velana International Airport; Flight 20 minutes flight from Velana International Airport to Maamigili Airport, and 40 minutes transfer by speedboat",,"Flight 20 minutes flight from Velana International Airport to Maamigili Airport, and 40 minutes transfer by speedboat",,,Flyme,+960301 3000,
17,Island Focal Point,+9606680542,Police Station,+9609791822,Health Center,+9606680873,Villa International Airport Maamigili,Origin: Male'; Speed Boat Charter 1 hour 15 minutes from Male' to Omadhoo,Speed Boat Charter 1 hour 15 minutes from Male' to Omadhoo,,Maina; Dheena Express,+9607797904; +9607817007,,,https://islands.mv/islands/alifu-dhaalu-omadhoo
18,Island Focal Point,+960660 2513,Police Station,+9609166997,Health Center,+960660 0200,Dharavandhoo Airport,Origin: Velana International Airport; Speed Boat Charter 2 hours 5 minutes from Male' to Dharavandhoo; Flight 20 minutes from Velana International Airport to Dharavandhoo Airport,Speed Boat Charter 2 hours 5 minutes from Male' to Dharavandhoo,Flight 20 minutes from Velana International Airport to Dharavandhoo Airport,,,,,https://islands.mv/islands/baa-dharavandhoo-2
