cso_id,cso_name_english,cso_name_dhivehi,phone,email,web_presence,registration_number
1,27 Adaa,27 އައްޑާ,7993233,info.27adda@gmail.com,,2156
2,A.C.C.A Members Association of the Maldives,އޭސީސީއޭ މެންބރަސް އެސޯސިއޭޝަން އޮފް ދަ މޯލްޑިވްސް,7977007,,,1716
3,A.D.K Sinrajee,އޭ.ޑީ.ކޭ ސިނރަޖީ,7936013,,,1707
4,Aadham Kaleyge Husain Foundation (AKH Foundation),އާދަމް ކަލޭގެ ޙުސައިން ފައުންޑޭޝަން (އަޚް ފައުންޑޭޝަން),7948388,shafeeu1966@gmail.com,,1714
5,Aadham Shareef Foundation,އާދަމް ޝަރީފް ފައުންޑޭޝަން,,adamshareef.mv@gmail.com,,106
6,Aage Foundation,އާގެ ފައުންޑޭޝަން,3320850,,,1721
7,Aalee Chain,ޢާއިލީ ޗޭނު,7774624,,,2577
8,Aamunge Ekuveri Gulhun,އާއްމުންގެ އެކުވެރި ގުޅުން,9802023,mvkaathib@gmail.com,,1720
9,Aanandha Recreation Club,އާނަންދަ ރެކްރިއޭޝަން ކްލަބް,9830272/ 7939335,arc.rmhc@gmail.com,,352
10,Aasandha Recreation Club,އާސަންދަ ރެކްރިއޭޝަން ކްލަބު,7798671,,,1719
11,Abdhu Ahmadhu Foundation,ޢަބްދު އަޙްމަދު ފައުންޑޭޝަން,7785280,,,1717
12,Abdhuraheem Foundation,ޢަބްދުއްރަޙީމް ފައުންޑޭޝަން,7905566,arafaa2010@gmail.com,,2191
13,Abdhurazaaq Foundation,ޢަބްދުއްރައްޒާޤް ފައުންޑޭޝަން,,,,1718
14,Abdul Adheen Foundation,ޢަބްދު އަދީން ފައުންޑޭޝަން,9752508 7862417,adheen.mohamed@gmail.com,,2051
15,Abdul Khaleel Foundation,ޢަބްދު ޚަލީލް ފައުންޑޭޝަން,,,,2029
16,Abdul Rasheed Foundation,އަބްދުލް ރަޝީދް ފައުންޑޭޝަން,9892212/7782212,shamim@highriseint.com,,1836
17,Aboobakuru Alee Foundation,އަބޫބަކުރު ޢަލީ ފައުންޑޭޝަން,9696426,,,555
18,Activist Association of Maldives (AAM),އެކްޓިވިސްޓް އެސޯސިއޭޝަން އޮފް މޯލްޑިވްސް (އާމް),7775480,,,1715
19,Addu City Council Welfare and Recreation Club,އައްޑޫސިޓީ ކައުންސިލް ވެލްފެއރަ އެންޑް ރެކްރިއޭޝަން ކުލަބް,6885003,admin@adducity.gov.mv,,2639
20,Addu City United,އައްޑޫ ސިޓީ ޔުނައިޓެޑް,7758030,,,1713
21,Addu Development Committee,އައްޑޫ ޑިވެލޮޕްމަންޓް ކޮމިޓީ,7775968,adc.addu@gmail.com,,1712
22,Addu Eco Club,އައްޑޫ އިކޯ ކްލަބް,7979789,zareer7979789@gmail.com,,2684
23,Addu Friends,އައްޑޫ ފްރެންޑްސް,9661711,,,2636
24,Addu Heritage and Greenery,އައްޑޫ ހެރިޓޭގް އެންޑް ގްރީނަރީ,7458333,,,2635
25,Addu Meedhoo Development Society,އައްޑޫ މީދޫ ޑިވެލޮޕްމަންޓް ސޮސައިޓީ,7786050,,,2683
26,Addu Rayitunge Jamiyya,އައްޑޫ ރައްޔިތުންގެ ޖަމްޢިއްޔާ,,,,1711
27,Addu Sports Academy,އައްޑޫ ސްޕޯޓްސް އެކެޑަމީ,9998235,,,2634
28,Addu Sports Club,އައްޑޫ ސްޕޯޓްސް ކްލަބް,7776600,,,2633
29,Addu Stars Club,އައްޑޫ ސްޓރަސް ކްލަބް,7775050,test@gmail.com,,1710
30,Addu Thalassemia Society,އައްޑޫ ތެލަސީމިއާ ސޮސައިޓީ,7543988,,,2647
31,Addu Traders Association,އައްޑޫ ޓްރޭޑާސް އެސޯސިއޭޝަން,9998235,,,2632
32,Addu United Taleehi Club,އައްޑޫ ޔުނައިޓެޑް ތައްލިހި ކްލަބް,,autc@avasmail.com.mv,,2701
33,Addu Women's Association,އައްޑޫ ވިމެންސް އެސޯސިއޭޝަން,3365533,info@awa.org,,1709
34,Addu Women's Development Initiative,އައްޑޫ ވިމެންސް ޑިވެލޮޕްމަންޓް އިނީޝިއޭޓިވް,,,,2631
35,Addu Zuvaanunge Rooh,އައްޑޫ ޒުވާނުންގެ ރޫޙް,7842982,,,1708
