health_facility_id,facility_name,island_id,atoll_id,is_public,facility_level,facility_type,address,contact_phone,contact_email,original_location
1,Vaavu thinadhoo Health Centre,189.0,21.0,True,Health Centre Grade 1,,,,,Vaavu thinadhoo
2,Vaavu Fulidhoo health Centre,186.0,21.0,True,Health Centre Grade 1,,,,,Vaavu Fulidhoo
3,Vaavu Rakeedhoo Health Centre,188.0,21.0,True,Health Centre Grade 1,,,,,Vaavu Rakeedhoo
4,Vaavu Keyodhoo Health Centre,187.0,21.0,True,Health Centre Grade 2,,,,,Vaavu Keyodhoo
5,Vaavu Atoll Hospital,180.0,20.0,True,Hospital Grade 1,,,,,Vaavu Omadhoo
6,Noonu Atoll Hospital,134.0,16.0,True,Hospital Grade 2,,,,,Noonu Manadhoo
7,Noonu Magoodhoo Health Centre,133.0,16.0,True,Health Centre Grade 1,,,,,Noonu Magoodhoo
8,Noonu Maalhendhoo Health Centre,132.0,16.0,True,Health Centre Grade 1,,,,,Noonu Maalhendhoo
9,Noonu Miladhoo Health Centre,135.0,16.0,True,Health Centre Grade 2,,,,,Noonu Miladhoo
10,Noonu Lhohi Health Centre,130.0,16.0,True,Health Centre Grade 1,,,,,Noonu Lhohi
11,Noonu Kendhikulhudhoo Health Centre,127.0,16.0,True,Health Centre Grade 2,,,,,Noonu Kendhikulhudhoo
12,Noonu Maafaru Health Centre,131.0,16.0,True,Health Centre Grade 3,,,,,Noonu Maafaru
13,Noonu Holhudhoo Health Centre,126.0,16.0,True,Health Centre Grade 3,,,,,Noonu Holhudhoo
14,Noonu Velidhoo Health Centre,136.0,16.0,True,Health Centre Grade 3,,,,,Noonu Velidhoo
15,Noonu Kudafari Health Centre,128.0,16.0,True,Health Centre Grade 1,,,,,Noonu Kudafari
16,Noonu Henbadhoo Health Centre,125.0,16.0,True,Health Centre Grade 1,,,,,Noonu Henbadhoo
17,Noonu Fohdhoo Health Centre,124.0,16.0,True,Health Centre Grade 1,,,,,Noonu Fohdhoo
18,Laamu Gan Regional Hospital,100.0,12.0,True,Hospital Grade 3,,,,,Laamu Gan
19,Laamu Isdhoo Health Centre,102.0,12.0,True,Health Centre Grade 3,,,,,Laamu Isdhoo
20,Laamu Fonadhoo Health Centre,99.0,12.0,True,Health Centre Grade 3,,,,,Laamu Fonadhoo
21,Laamu Maavah Health Centre,107.0,12.0,True,Health Centre Grade 3,,,,,Laamu Maavah
22,Laamu Maabaidhoo Health Centre,105.0,12.0,True,Health Centre Grade 2,,,,,Laamu Maabaidhoo
23,Laamu Hithadhoo Health Centre,153.0,18.0,True,Health Centre Grade 3,,,,,Laamu Hithadhoo
24,Laamu Kunahandhoo Health Centre,104.0,12.0,True,Health Centre Grade 1,,,,,Laamu Kunahandhoo
25,Laamu Maamendhoo Health Centre,106.0,12.0,True,Health Centre Grade 2,,,,,Laamu Maamendhoo
26,Laamu Dhanbidhoo Health Centre,98.0,12.0,True,Health Centre Grade 1,,,,,Laamu Dhanbidhoo
27,Laamu Mundoo Health Centre,108.0,12.0,True,Health Centre Grade 1,,,,,Laamu Mundoo
28,Haa Alifu Muraidhoo Health Centre,70.0,9.0,True,Health Centre Grade 1,,,,,Haa Alifu Muraidhoo
29,Haa Alifu Atoll Hospital,63.0,9.0,True,Hospital Grade 2,,,,,Haa Alifu Dhidhdhoo
30,Haa Alifu Uligamu Health Centre,73.0,9.0,True,Health Centre Grade 1,,,,,Haa Alifu Uligamu
31,Haa Alifu Kelaa Health Centre,67.0,9.0,True,Health Centre Grade 3,,,,,Haa Alifu Kelaa
32,Haa Alifu Filladhoo Health Centre,64.0,9.0,True,Health Centre Grade 1,,,,,Haa Alifu Filladhoo
33,Haa Alifu Thuraakunu Health Centre,72.0,9.0,True,Health Centre Grade 1,,,,,Haa Alifu Thuraakunu
34,Haa Alifu Ihavandhoo Health Centre,66.0,9.0,True,Health Centre Grade 1,,,,,Haa Alifu Ihavandhoo
35,Haa Alifu Maarandhoo Health Centre,68.0,9.0,True,Health Centre Grade 1,,,,,Haa Alifu Maarandhoo
36,Haa Alifu Vashafaru Health Centre,75.0,9.0,True,Health Centre Grade 2,,,,,Haa Alifu Vashafaru
37,Haa Alifu Hoarafushi Health Centre,65.0,9.0,True,Health Centre Grade 4,,,,,Haa Alifu Hoarafushi
38,Haa Alifu Utheemu Health Centre,74.0,9.0,True,Health Centre Grade 2,,,,,Haa Alifu Utheemu
39,Haa Alifu Thakandhoo Health Centre,71.0,9.0,True,Health Centre Grade 2,,,,,Haa Alifu Thakandhoo
40,Haa Alifu Molhadhoo Health Centre,69.0,9.0,True,Health Centre Grade 1,,,,,Haa Alifu Molhadhoo
41,Haa Alifu Baarah Health Centre,62.0,9.0,True,Health Centre Grade 3,,,,,Haa Alifu Baarah
42,Fuvahmulah Atoll Hospital,61.0,8.0,True,Hospital Grade 2,,,,,Gnaviyani Fuvahmulah
43,Baa Atoll Hospital,21.0,3.0,True,Hospital Grade 2,,,,,Baa Eydhafushi
