island_id,atoll_id,baby_nursery_male,baby_nursery_female,nursery_male,nursery_female,lkg_male,lkg_female,ukg_male,ukg_female,grade1_male,grade2_male,grade3_male,grade4_male,grade5_male,grade6_male,grade7_male,grade8_male,grade9_male,grade10_male,grade11_male,grade12_male,grade1_female,grade2_female,grade3_female,grade4_female,grade5_female,grade6_female,grade7_female,grade8_female,grade9_female,grade10_female,grade11_female,grade12_female,total_male,total_female,percentage_male,percentage_female,original_location
62.0,9.0,2.0,3.0,10.0,12.0,15.0,6.0,12.0,18.0,12.0,17.0,7.0,16.0,13.0,9.0,9.0,9.0,15.0,14.0,,,8.0,15.0,11.0,11.0,7.0,17.0,10.0,9.0,6.0,10.0,,,160.0,143,52.81,47.19,Haa Alif Baarah
63.0,9.0,,,3.0,1.0,32.0,41.0,43.0,52.0,47.0,33.0,45.0,39.0,46.0,40.0,29.0,48.0,42.0,42.0,1.0,11.0,45.0,41.0,45.0,41.0,38.0,33.0,43.0,36.0,33.0,33.0,4.0,15.0,501.0,501,50.0,50.0,Haa Alif Dhidhdhoo
64.0,9.0,,,,,6.0,3.0,9.0,6.0,3.0,5.0,2.0,7.0,7.0,6.0,5.0,4.0,4.0,6.0,,,8.0,3.0,6.0,5.0,5.0,5.0,7.0,5.0,7.0,2.0,,,64.0,62,50.79,49.21,Haa Alif Filladhoo
65.0,9.0,,,,,14.0,15.0,22.0,17.0,17.0,23.0,17.0,23.0,18.0,22.0,12.0,15.0,19.0,13.0,,,17.0,21.0,13.0,15.0,14.0,13.0,20.0,21.0,24.0,13.0,,,215.0,203,51.44,48.56,Haa Alif Hoarafushi
66.0,9.0,16.0,12.0,25.0,34.0,36.0,25.0,39.0,33.0,42.0,42.0,34.0,41.0,32.0,28.0,33.0,35.0,47.0,30.0,4.0,5.0,25.0,45.0,40.0,29.0,32.0,30.0,29.0,35.0,29.0,28.0,12.0,13.0,489.0,451,52.02,47.98,Haa Alif Ihavandhoo
67.0,9.0,,,,,10.0,9.0,12.0,11.0,13.0,11.0,11.0,5.0,7.0,11.0,15.0,6.0,10.0,12.0,,,8.0,12.0,13.0,8.0,11.0,9.0,8.0,9.0,8.0,6.0,,,123.0,112,52.34,47.66,Haa Alif Kelaa
68.0,9.0,,,,,3.0,9.0,9.0,1.0,5.0,9.0,12.0,11.0,9.0,11.0,10.0,6.0,7.0,7.0,,,12.0,13.0,5.0,4.0,9.0,5.0,2.0,7.0,5.0,9.0,,,99.0,81,55.0,45.0,Haa Alif Maarandhoo
69.0,9.0,5.0,1.0,2.0,2.0,1.0,3.0,6.0,1.0,3.0,4.0,1.0,3.0,,3.0,1.0,5.0,1.0,3.0,,,,2.0,1.0,,,5.0,1.0,1.0,2.0,2.0,,,38.0,21,64.41,35.59,Haa Alif Mulhadhoo
70.0,9.0,5.0,4.0,8.0,7.0,6.0,3.0,5.0,5.0,5.0,7.0,5.0,8.0,7.0,9.0,10.0,12.0,5.0,5.0,,,3.0,15.0,14.0,4.0,9.0,7.0,6.0,8.0,2.0,5.0,,,97.0,92,51.32,48.68,Haa Alif Muraidhoo
71.0,9.0,3.0,3.0,1.0,3.0,,2.0,3.0,2.0,2.0,2.0,2.0,4.0,,,,1.0,,,,,,4.0,,3.0,1.0,2.0,2.0,,,,,,18.0,22,45.0,55.0,Haa Alif Thakandhoo
72.0,9.0,,,,,3.0,3.0,5.0,4.0,,5.0,2.0,2.0,9.0,5.0,5.0,4.0,4.0,1.0,,,7.0,6.0,1.0,3.0,3.0,4.0,3.0,,9.0,2.0,,,45.0,45,50.0,50.0,Haa Alif Thuraakunu
73.0,9.0,,,,,1.0,3.0,,2.0,2.0,4.0,3.0,4.0,1.0,2.0,4.0,3.0,4.0,2.0,,,6.0,4.0,6.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,,,30.0,46,39.47,60.53,Haa Alif Uligamu
74.0,9.0,,,,,6.0,4.0,3.0,8.0,3.0,10.0,9.0,4.0,7.0,7.0,8.0,7.0,1.0,6.0,,,6.0,10.0,10.0,3.0,3.0,10.0,10.0,4.0,10.0,6.0,,,71.0,84,45.81,54.19,Haa Alif Utheemu
75.0,9.0,3.0,1.0,2.0,3.0,6.0,2.0,4.0,6.0,9.0,3.0,8.0,3.0,2.0,4.0,,1.0,4.0,6.0,,,8.0,3.0,1.0,6.0,4.0,2.0,8.0,5.0,2.0,3.0,,,55.0,54,50.46,49.54,Haa Alif Vashafaru
76.0,10.0,,,,,8.0,5.0,2.0,2.0,5.0,3.0,3.0,4.0,7.0,4.0,3.0,3.0,1.0,3.0,,,6.0,9.0,5.0,4.0,1.0,3.0,6.0,7.0,5.0,2.0,,,46.0,55,45.54,54.46,Haa Dhaalu Finey
77.0,10.0,18.0,22.0,18.0,23.0,18.0,10.0,20.0,14.0,20.0,26.0,15.0,29.0,23.0,20.0,25.0,21.0,13.0,25.0,6.0,,13.0,25.0,18.0,23.0,19.0,27.0,18.0,19.0,10.0,12.0,12.0,,297.0,265,52.85,47.15,Haa Dhaalu Hanimaadhoo
78.0,10.0,,,,,,3.0,2.0,3.0,4.0,4.0,5.0,2.0,2.0,2.0,,1.0,2.0,2.0,,,2.0,2.0,,1.0,,,1.0,3.0,,2.0,,,26.0,17,60.47,39.53,Haa Dhaalu Hirimaradhoo
79.0,10.0,31.0,26.0,62.0,59.0,64.0,59.0,104.0,106.0,102.0,148.0,103.0,114.0,137.0,132.0,136.0,124.0,101.0,97.0,31.0,37.0,110.0,105.0,107.0,125.0,109.0,106.0,115.0,113.0,105.0,92.0,42.0,32.0,1523.0,1411,51.91,48.09,Haa Dhaalu Kulhudhuffushi
80.0,10.0,7.0,5.0,10.0,6.0,11.0,8.0,11.0,11.0,6.0,14.0,12.0,13.0,6.0,8.0,12.0,10.0,15.0,11.0,,,7.0,10.0,11.0,4.0,9.0,12.0,11.0,10.0,13.0,4.0,,,146.0,121,54.68,45.32,Haa Dhaalu Kumundhoo
81.0,10.0,2.0,5.0,4.0,2.0,3.0,,3.0,9.0,8.0,4.0,7.0,5.0,2.0,6.0,8.0,7.0,5.0,3.0,,,6.0,9.0,6.0,5.0,8.0,5.0,4.0,6.0,6.0,5.0,,,67.0,76,46.85,53.15,Haa Dhaalu Kurinbi
82.0,10.0,,,,,17.0,12.0,18.0,16.0,14.0,26.0,14.0,13.0,18.0,16.0,11.0,14.0,14.0,11.0,,,11.0,31.0,11.0,14.0,14.0,17.0,13.0,12.0,12.0,16.0,,,186.0,179,50.96,49.04,Haa Dhaalu Makunudhoo
83.0,10.0,,,,,7.0,8.0,5.0,5.0,4.0,6.0,5.0,7.0,8.0,7.0,4.0,7.0,2.0,4.0,,,5.0,7.0,6.0,10.0,8.0,1.0,6.0,2.0,1.0,4.0,,,66.0,63,51.16,48.84,Haa Dhaalu Naivaadhoo
84.0,10.0,8.0,8.0,12.0,9.0,6.0,9.0,12.0,13.0,9.0,12.0,12.0,7.0,16.0,16.0,16.0,11.0,11.0,12.0,6.0,1.0,12.0,14.0,11.0,12.0,10.0,12.0,13.0,19.0,15.0,8.0,8.0,6.0,167.0,179,48.27,51.73,Haa Dhaalu Nellaidhoo
85.0,10.0,3.0,7.0,4.0,6.0,8.0,3.0,4.0,6.0,7.0,8.0,10.0,5.0,6.0,12.0,5.0,11.0,3.0,5.0,,,5.0,7.0,5.0,8.0,8.0,7.0,3.0,5.0,5.0,9.0,,,91.0,84,52.0,48.0,Haa Dhaalu Neykurendhoo
86.0,10.0,15.0,14.0,31.0,23.0,21.0,19.0,28.0,24.0,12.0,27.0,29.0,31.0,35.0,33.0,22.0,24.0,22.0,27.0,,,21.0,35.0,21.0,18.0,31.0,29.0,29.0,27.0,26.0,24.0,,,357.0,341,51.15,48.85,Haa Dhaalu Nolhivaram
87.0,10.0,,,,,10.0,13.0,13.0,11.0,17.0,21.0,20.0,11.0,12.0,21.0,13.0,11.0,11.0,8.0,,,13.0,20.0,9.0,19.0,8.0,13.0,8.0,14.0,10.0,13.0,,,168.0,151,52.66,47.34,Haa Dhaalu Nolhivaranfaru
88.0,10.0,,,,,9.0,2.0,3.0,9.0,7.0,6.0,7.0,7.0,8.0,14.0,8.0,7.0,9.0,9.0,,,6.0,12.0,12.0,7.0,8.0,8.0,8.0,7.0,9.0,6.0,,,94.0,94,50.0,50.0,Haa Dhaalu Vaikaradhoo
158.0,19.0,6.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,8.0,6.0,7.0,9.0,9.0,3.0,10.0,9.0,8.0,3.0,,,2.0,10.0,9.0,7.0,6.0,6.0,1.0,5.0,5.0,3.0,,,92.0,69,57.14,42.86,Shaviyani Bileffahi
159.0,19.0,,,,,8.0,7.0,8.0,4.0,11.0,13.0,4.0,6.0,10.0,10.0,7.0,6.0,4.0,2.0,,,6.0,12.0,9.0,7.0,10.0,6.0,10.0,7.0,7.0,6.0,,,89.0,91,49.44,50.56,Shaviyani Feevah
160.0,19.0,9.0,5.0,5.0,9.0,7.0,11.0,10.0,8.0,5.0,11.0,6.0,13.0,9.0,12.0,11.0,8.0,8.0,9.0,,,17.0,15.0,11.0,7.0,9.0,6.0,10.0,14.0,9.0,9.0,,,123.0,140,46.77,53.23,Shaviyani Feydhoo
161.0,19.0,,,,,20.0,18.0,19.0,14.0,21.0,15.0,24.0,18.0,19.0,21.0,17.0,20.0,17.0,16.0,9.0,4.0,16.0,19.0,23.0,20.0,14.0,19.0,25.0,10.0,17.0,24.0,4.0,7.0,240.0,230,51.06,48.94,Shaviyani Foakaidhoo
162.0,19.0,21.0,15.0,11.0,14.0,19.0,22.0,21.0,16.0,20.0,27.0,25.0,26.0,23.0,35.0,21.0,23.0,18.0,29.0,2.0,,31.0,32.0,13.0,26.0,19.0,25.0,25.0,36.0,27.0,15.0,8.0,,321.0,324,49.77,50.23,Shaviyani Funadhoo
163.0,19.0,,,,,4.0,6.0,10.0,6.0,2.0,4.0,6.0,4.0,8.0,9.0,7.0,6.0,5.0,4.0,,,7.0,10.0,4.0,5.0,6.0,4.0,7.0,5.0,6.0,2.0,,,69.0,68,50.36,49.64,Shaviyani Goidhoo
164.0,19.0,11.0,13.0,6.0,16.0,14.0,13.0,8.0,13.0,12.0,30.0,13.0,15.0,11.0,11.0,14.0,8.0,14.0,13.0,,,14.0,19.0,12.0,10.0,8.0,23.0,17.0,10.0,16.0,20.0,,,180.0,204,46.88,53.13,Shaviyani Kanditheemu
165.0,19.0,9.0,4.0,4.0,8.0,,,7.0,8.0,9.0,13.0,8.0,10.0,12.0,5.0,12.0,12.0,13.0,12.0,6.0,1.0,11.0,8.0,12.0,9.0,6.0,8.0,6.0,5.0,13.0,13.0,8.0,2.0,133.0,121,52.36,47.64,Shaviyani Komandoo
166.0,19.0,,,,,7.0,8.0,4.0,2.0,4.0,9.0,8.0,6.0,5.0,7.0,10.0,8.0,9.0,6.0,,,9.0,13.0,8.0,8.0,1.0,5.0,9.0,7.0,3.0,5.0,,,83.0,78,51.55,48.45,Shaviyani Lhaimagu
167.0,19.0,4.0,5.0,6.0,16.0,10.0,8.0,13.0,8.0,10.0,16.0,9.0,12.0,10.0,12.0,14.0,7.0,5.0,9.0,,,6.0,16.0,3.0,4.0,14.0,13.0,9.0,20.0,8.0,8.0,,,137.0,138,49.82,50.18,Shaviyani Maaungoodhoo
168.0,19.0,2.0,5.0,,,4.0,3.0,5.0,6.0,6.0,6.0,4.0,2.0,8.0,2.0,3.0,5.0,4.0,3.0,,,2.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,9.0,7.0,,,54.0,56,49.09,50.91,Shaviyani Maroshi
169.0,19.0,,,,,20.0,14.0,35.0,18.0,26.0,23.0,26.0,26.0,26.0,36.0,35.0,39.0,17.0,26.0,7.0,1.0,25.0,28.0,22.0,19.0,17.0,23.0,26.0,35.0,24.0,17.0,13.0,4.0,343.0,285,54.62,45.38,Shaviyani Milandhoo
170.0,19.0,,,,,3.0,3.0,5.0,4.0,11.0,7.0,3.0,8.0,5.0,11.0,5.0,7.0,8.0,10.0,,,7.0,5.0,5.0,3.0,2.0,8.0,6.0,6.0,1.0,3.0,,,83.0,53,61.03,38.97,Shaviyani Narudhoo
171.0,19.0,,,,,6.0,4.0,11.0,3.0,4.0,4.0,6.0,6.0,4.0,6.0,2.0,4.0,4.0,5.0,,,3.0,2.0,4.0,3.0,4.0,2.0,1.0,5.0,3.0,2.0,,,62.0,36,63.27,36.73,Shaviyani Noomaraa
124.0,16.0,5.0,1.0,,4.0,2.0,6.0,10.0,4.0,1.0,7.0,,1.0,5.0,2.0,3.0,2.0,4.0,5.0,,,3.0,,1.0,3.0,1.0,2.0,4.0,1.0,1.0,,,,47.0,31,60.26,39.74,Noonu Fodhdhoo
125.0,16.0,13.0,7.0,5.0,8.0,7.0,3.0,13.0,4.0,11.0,10.0,7.0,2.0,6.0,7.0,15.0,8.0,,6.0,,,4.0,9.0,5.0,10.0,5.0,13.0,6.0,9.0,5.0,7.0,,,110.0,95,53.66,46.34,Noonu Henbadhoo
