island_id,atoll_id,is_big_island,is_very_big_island,is_atoll_capital,distance_to_male_km,has_airport,airport_name,airports_in_atoll_count,international_airports_in_atoll,airports_within_5km,has_airport_5km,has_intl_airport_5km,airports_within_10km,has_airport_10km,has_intl_airport_10km,airports_within_15km,has_airport_15km,has_intl_airport_15km,airports_within_20km,has_airport_20km,has_intl_airport_20km,airports_within_40km,has_airport_40km,has_intl_airport_40km,original_location
1,1,False,False,False,81.65698587553572,False,,0,0,,False,False,,False,False,,False,False,,False,False,,False,False,Alifu Alifu Bodufolhudhoo
2,1,False,False,False,88.04236005567364,False,,0,0,,False,False,,False,False,,False,False,,False,False,,False,False,Alifu Alifu Feridhoo
3,1,False,False,False,89.45612310144276,False,,0,0,,False,False,,False,False,,False,False,,False,False,,False,False,Alifu Alifu Himendhoo
30,3,False,False,False,90.13259739579611,False,,0,0,,False,False,,False,False,,False,False,,False,False,,False,False,Alifu Alifu Maalhos
5,1,False,False,False,84.70379600306387,False,,0,0,,False,False,,False,False,,False,False,,False,False,,False,False,Alifu Alifu Mathiveri
6,1,False,False,False,58.28512883471215,False,,0,0,,False,False,,False,False,,False,False,,False,False,,False,False,Alifu Alifu Rasdhoo
7,1,False,False,False,67.64948980718505,False,,0,0,,False,False,,False,False,,False,False,,False,False,,False,False,Alifu Alifu Thoddoo
8,1,False,False,False,71.73193598514182,False,,0,0,,False,False,,False,False,,False,False,,False,False,,False,False,Alifu Alifu Ukulhas
9,2,False,False,False,88.00495972469382,False,,0,0,,False,False,,False,False,,False,False,,False,False,Villa International Airport,True,True,Alifu Dhaalu Dhan'gethi
10,2,False,False,False,96.91753166905238,False,,0,0,,False,False,,False,False,Villa International Airport,True,True,Villa International Airport,True,True,Villa International Airport,True,True,Alifu Dhaalu Dhigurah
63,9,False,False,False,103.8598682387824,False,,0,0,,False,False,Villa International Airport,True,True,Villa International Airport,True,True,Villa International Airport,True,True,Villa International Airport,True,True,Alifu Dhaalu Dhihdhoo
12,2,False,False,False,110.9360115806998,False,,0,0,,False,False,Villa International Airport,True,True,Villa International Airport,True,True,Villa International Airport,True,True,Villa International Airport,True,True,Alifu Dhaalu Fenfushi
13,2,False,False,False,71.33324623768289,False,,0,0,,False,False,,False,False,,False,False,,False,False,,False,False,Alifu Dhaalu Hangnaameedhoo
14,2,False,False,False,78.60587266157769,False,,0,0,,False,False,,False,False,,False,False,,False,False,Villa International Airport,True,True,Alifu Dhaalu Kun'burudhoo
15,2,True,False,False,108.107471970574,False,,0,0,Villa International Airport,True,True,Villa International Airport,True,True,Villa International Airport,True,True,Villa International Airport,True,True,Villa International Airport,True,True,Alifu Dhaalu Maamin'gili
16,2,True,False,False,75.83901429894297,False,,0,0,,False,False,,False,False,,False,False,,False,False,Villa International Airport,True,True,Alifu Dhaalu Mahibadhoo
17,2,False,False,False,103.3561285759319,False,,0,0,,False,False,,False,False,,False,False,,False,False,Villa International Airport,True,True,Alifu Dhaalu Mandhoo
