facility_id,facility_name,facility_type,island_id,matched_island_name,atoll_id,matched_atoll_name,address,rooms,beds,berths,phone,email,website,fax,resort_phone,resort_email,resort_fax,operator,owner_lessee,management,match_score,match_status,facility_type_original,atoll_name,island_name
1,2020 Sandhaa,guesthouse,169.0,Milandhoo,19.0,Shaviyani,"Sandha, Dhunburi Magu",3,6,0,7914888,2020sandha@gmail.com,,,,,,"My Tailor (SP)
Mohamed Nazim Moosa
Sandha
Milandhoo, Shaviyani Atoll
Republic of Maldives","Mohamed Nazim Moosa 
Sandha
Milandhoo, Shaviyani Atoll
Republic of Maldives",,100.0,matched,Guest House,Shaviyani,Milandhoo
2,,guesthouse,175.0,Guraidhoo,20.0,Thaa,"Madhufalhu, Neeloafaru Magu",7,14,0,7941897,laughf@gmail.com,-,-,,,,"Nikola Pvt Ltd 
G. Aima, Banafsaa Goalhi, 
Male', Republic of Maldives","Adil Haroon
Ocean Weed, 
Guraidhoo, Kaafu Atoll, 
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Guraidhoo
3,Aagali Beach,guesthouse,186.0,Fulidhoo,21.0,Vaavu,Vaagali  Soasun Magu,4,8,0,9101188,aagalibeach@gmail.com,http://www.aagalibeach.com/,,,,,"Aagali Pvt Ltd 
Vaagali 
Fulidhoo, Vaavu Atoll 
Republic of Maldives","Mohamed Waheed 
Vaagali 
Fulidhoo, Vaavu Atoll 
Republic of Maldives",,100.0,matched,Guest House,Vaavu,Fulidhoo
4,Aanugandu Island Resort,resort,,,11.0,Kaafu,K. Aanugan'du Finolhu and Aanugan'du Huraa,384,768,0,3339992,shrikant@atmospherehotelsandresorts.com,,,4000022,info@ailafushi@colorsofoblu.com,4000022,"Promonant Pvt Ltd 
H. Aage, 6th Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Aqua Blue Investments Pvt Ltd 
M. Mirihimaage
3A, Kulhidhoshumagu
Male', Republic of Maldives","Atmosphere Core (BVI) Ltd 
H. Aage, 3rd Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives",,unmatched,Resort,Kaafu,Aanugan'du Finolhu and Aanugan'du Huraa
5,Aariyaa View,guesthouse,61.0,Fuvahmulah,8.0,Gnaviyani,Dhoodigan. Aariyaa,4,8,0,7781629,ibrahimdidi1629@gmail.com,-,-,,,,"Aariyaa Investment (SP) | Ibrahim Abdulla Didi 
Dhoodigan. Aariyaa, 
Fuvahmulah, Gnaviyani Atoll, 
Republic of Maldives","Ibrahim Abdulla Didi 
Dhoodigan. Aariyaa
Fuvahmulah, Gnaviyani Atoll
Republic of Maldives",,100.0,matched,Guest House,Gnaviyani,Fuvahmulah
6,Aaru Inn,homestay,23.0,Fulhadhoo,3.0,Baa,"Aaru, Rahvehi Hingun",1,2,0,7563242,maumoon70@gmail.com,-,-,,,,"Aaru Inn (SP)
Maumoon Ahmed 
Venus,
Fulhadhookilege Hingun
Fulhadhoo, Baa Atoll
Republic of Maldives","Maumoon Ahmed 
Venus,
Fulhadhoo, Baa Atoll
Republic of Maldives",,100.0,matched,Home Stay,Baa,Fulhadhoo
7,Aashaan View,guesthouse,7.0,Thoddoo,1.0,Alifu Alifu,"Aashaan Ufaa, Noovilaa Magu",4,8,0,9690280,mohamed.rauhan@outlook.com,-,-,,,,"Aashaan View Pvt Ltd 
Ashaanuge,
Thoddoo, Alifu Alifu Atoll, 
Republic of Maldives","Shareef Hassan 
Hithilaage,
Thoddoo, Alifu Alifu Atoll, 
Republic of Maldives",,100.0,matched,Guest House,Alifu Alifu,Thoddoo
8,Aasna Inn,guesthouse,97.0,Thulusdhoo,11.0,Kaafu,Eureka,12,24,0,7938180,aasnainn-maldives@gmail.com,,,,,,"Asna Inn Pvt Ltd 
Asnavilla
Nirolhu Magu No. 7
Hulhumale'
Male', Republic of Maldives","Khalid Gasim
Rosy
Thulusdhoo, Kaafu Atoll
Republic of Maldives",,100.0,matched,Guest House,Kaafu,Thulusdhoo
9,Abuharee Grand,guesthouse,153.0,Hithadhoo,18.0,Seenu,"Afroaz, Shamsuhdheen Bodufandiyaaru Thakurufaanu Magu,",15,30,0,9393666,afza@abuharee.com,http://www.abuhareegrand.com,-,,,,"Abuhaaree Holdings Pvt Ltd 
Hulhumale', Fitron Residence, Fithuroanu Magu, 
Male',Republic of Maldives","Abdulla Zuhair 
Abuhareege, 
Hithadhoo, Seenu Atoll, 
Republic of Maldives",,100.0,matched,Guest House,Seenu,Hithadhoo
10,Acacia Beach,guesthouse,,,11.0,Kaafu,"Hulhumale' Lot No.10402, Maziya",24,48,0,7706696,admin@acacia.mv,www.acacia.mv,,,,,"Acacia Private Limited 
Hulhumale' Lot No.10402
Hirundhu Magu
Male', Republic of Maldives","Ibrahim Fayaz 
M. Reefside ge
Majeedhee Magu
Male', Republic of Maldives",,,unmatched,Guest House,Kaafu,Male'
